#DeCS_code	Term_Spanish	Synonyms
7944	obstrucción del conducto lagrimal	Obstrucción del Conducto Lagrimal
7945	lactalbúmina	Lactalbúmina
7946	lactamas	Lactamas
7947	virus elevador de lactato deshidrogenasa	Virus Elevador de Lactato Deshidrogenasa|Virus Riley|virus Riley
7949	l-lactato deshidrogenasa	L-Lactato Deshidrogenasa|Lactato Deshidrogenasa|lactato deshidrogenasa
7950	lactatos	Lactatos
7952	trastornos de la lactancia	Hipogalactia|Trastornos de la Lactancia|hipogalactia|trastornos de la secreción de leche
7954	Lactobacillus	-
7955	Lactobacillus acidophilus	-
7956	Lactobacillus casei	-
7958	lactoferrina	Lactoferrina
7959	lactoglobulinas	Lactoglobulinas
7960	lactonas	Lactonas
7961	lactoperoxidasa	Lactoperoxidasa
7962	lactosa	Lactosa
7963	factores de lactosa	Factores Lac|Factores de Lactosa|factores lac
7964	intolerancia a la lactosa	Intolerancia a la Lactosa|Malabsorción de Lactosa|malabsorción de lactosa
7967	prueba de tolerancia a la lactosa	Prueba de Tolerancia a la Lactosa|Test de Tolerancia a la Lactosa|test de tolerancia a la lactosa
7968	lactosilceramidas	Lactosil Ceramidos|Lactosilceramidos
7969	lactoilglutatión liasa	Glioxalasa I|Lactoilglutationliasa|Lactoilglutatión Liasa|Metilglioxalasa|glucoxilasa I|lactoil glutatión liasa|metilglucoxilasa
7970	lactulosa	Lactulosa
7971	Lagomorpha	Ochotona|Pikas
7972	cojera animal	Cojera Animal|Trastornos de la Marcha en los Animales|trastornos de la marcha en los animales
7973	Laminaria	Tapón de Laminaria|tallos de Laminaria
7974	laminectomía	Laminectomía
7976	lampreas	Anguilas Lampreas|Entosphenus|Ichthyomyzon|Lampetra|Lampreas|Petromyzontidae
7977	lanatósidos	Digilanidas|Lanatosidos|digilanidas
7980	lenguaje	Familia Lingüística|Lenguaje|Parentesco Lingüístico|familia lingüística|parentesco lingüístico
7981	estudios del lenguaje	Artes del Lenguaje|Estudios del Lenguaje
7982	desarrollo del lenguaje	Desarrollo del Lenguaje
7983	trastornos del desarrollo del lenguaje	Retardo del Habla|Retraso del Lenguaje|Retraso en el Desarrollo del Lenguaje Oral|Trastornos del Desarrollo del Lenguaje|retraso del habla|retraso del lenguaje|retraso en el desarrollo del lenguaje oral
7984	trastornos del lenguaje	Trastornos del Lenguaje
7985	pruebas del lenguaje	Examen Multilíngüe de la Afasia|Examen de Afasia Multilingüe|Examen de Boston para el Diagnóstico de la Afasia|Prueba de Denominación de Boston|Pruebas del Lenguaje|Test Extenso para las Afasias|Test de Denominación de Boston|Tests de Comprensión del Lenguaje|Tests del Lenguaje|Tests del Vocabulario|examen de Boston para el diagnóstico de la afasia|examen de afasia multilingüe|examen multilingüe de la afasia|prueba de denominación de Boston|pruebas de comprensión del lenguaje|pruebas de vocabulario|test de denominación de Boston|tests del lenguaje
7986	terapia del lenguaje	Entrenamiento en Lenguaje|Terapia del Lenguaje|entrenamiento del lenguaje
7987	lanolina	Lanolina
7988	lanosterol	Criptosterol|Lanosterol|criptosterol
7989	lantano	Lantano
7990	Laos	-
7991	laparotomía	Laparotomía
7992	larva	Cresas|Gusanos|Larva|Orugas|Renacuajos|cresas|gusanos|orugas|renacuajos
7995	cartílagos laríngeos	Cartílagos Laríngeos
7998	mucosa laríngea	Epitelio Laríngeo|Mucosa Laríngea|epitelio laríngeo
7999	músculos laríngeos	Músculos Cricotiroideos|Músculos Laríngeos|músculos cricotiroideos
8002	nervios laríngeos	Nervio Laríngeo Superior|Nervios Laríngeos|nervio laríngeo superior
8004	laringectomía	Laringectomía
8007	laringoscopia	Laringoscopía|Procedimientos Laringoscópicos Quirúrgicos|Procedimientos Quirúrgicos Laringoscópicos|procedimientos quirúrgicos laringoscópicos
8009	laringe	Laringe
8010	laringe artificial	Laringe Artificial|Prótesis Laríngea|Prótesis de la Voz|prótesis laríngea|prótesis vocal
8011	lasalocido	Lasalocido
8013	láseres	Láser|Láseres|Masers|Máser|Rayos Láser|máseres
8014	fiebre de Lassa	Fiebre de Lassa
8015	virus Lassa	Virus Lassa
8016	período de latencia psicosexual	Periodo de Latencia (Psicología)|período de latencia|período de latencia (psicología)
8018	lateralidad funcional	Ambidexteridad|Escritura en Espejo|Lateralidad|Lateralidad Funcional|Lateralidad de Control Motor|Lateralidad de la Conducta|Modalidades de Lados del Cuerpo|Síntomas Cruzados|ambidestreza|dominancia manual|escritura especular|lateralidad de control motor|lateralidad de la conducta
8019	látex	Látex
8021	latirismo	Latirismo
8022	Latinoamérica	América Latina
8023	Letonia	República de Letonia
8024	risa	Risa
8025	lavandería	Lavado|Lavandería|Lavandería Comercial|lavado|lavandería comercial
8026	servicio hospitalario de lavandería	Servicio de Lavandería en Hospital|servicio de lavandería de un hospital
8027	lauratos	Dodecanoatos|Lauratos|dodecanoatos
8028	síndrome de Laurence-Moon	Síndrome de Laurence-Moon|Síndrome de Laurence-Moon-Biedl|síndrome de Laurence-Moon-Biedl
8029	ácidos láuricos	Ácidos Dodecanoicos|Ácidos Láuricos|ácidos dodecanoicos
8030	dodecanol	Alcohol Laurílico|Dodecanol|Dodecil Alcohol|alcohol dodecílico|alcohol laurílico|alcohol láurico
8033	plomo	Plomo
8034	intoxicación por plomo	Envenenamiento por Plomo|Intoxicación por Plomo|envenenamiento por plomo|saturnismo
8035	liderazgo	Liderazgo
8036	aprendizaje	Aprendizaje|Aprendizaje Contextualizado|Educación Contextualizada|Entrenamiento de Memoria|Entrenamiento de la Memoria|Fenomenografía|aprendizaje contextualizado|educación contextualizada|entrenamiento de la memoria|entrenamiento de memoria|fenomenografía
8037	trastornos del aprendizaje	Incapacidades del Aprendizaje|Trastorno del Desarrollo de Habilidades Académicas|Trastornos del Aprendizaje|discapacidades para el aprendizaje|trastorno del desarrollo académico
8038	alquiler de propiedad	Alquiler de Propiedad|Arrendamiento de Propiedad|contrato de alquiler
8039	Líbano	República Libanesa|República de Líbano
8040	fosfatidilcolina-esterol O-aciltransferasa	Fosfatidilcolina-Esterol O-Aciltransferasa|Lecitina Aciltransferasa|Lecitina Colesterol Aciltransferasa|Lecitincolesterol Aciltransferasa|lecitina aciltransferasa|lecitina colesterol aciltransferasa
8041	deficiencia de la lecitina colesterol aciltransferasa	Deficiencia de Lecitina Aciltransferasa|Deficiencia de Lecitina Colesterol Aciltransferasa|Deficiencia de Lecitincolesterol Aciltransferasa|Deficiencia de la Lecitina Colesterol Aciltransferasa|Deficiencia de la Lecitincolesterol Aciltransferasa|Distrofia Corneal Dislipoproteinémica|Déficit de Lecitina Colesterol Aciltransferasa|Déficit de Lecitincolesterol Aciltransferasa|Enfermedad del Ojo de Pescado|Enfermedad del Ojo de Pez|deficiencia de la lecitincolesterol aciltransferasa|deficiencia de lecitina aciltransferasa|deficiencia de lecitina colesterol aciltransferasa|deficiencia de lecitincolesterol aciltransferasa|distrofia corneal dislipoproteinémica|déficit de lecitina colesterol aciltransferasa|déficit de lecitincolesterol aciltransferasa|enfermedad del ojo de pescado|enfermedad del ojo de pez
8042	lectinas	Isolectinas|Lectinas|Lectinas de Animal|isolectinas|lectinas de animal|lectinas de animales
8043	sanguijuelas	Hirudinea|Sanguijuelas
8044	pierna	Pierna|Piernas|piernas
8045	huesos de la pierna	Huesos de la Pierna
8046	dermatosis de la pierna	Dermatosis de la Pierna
8047	traumatismos de la pierna	Lesiones de la Pierna|Traumatismos de la Pierna|lesiones de la pierna
8048	diferencia de longitud de las piernas	Desigualdad de Miembros Inferiores|Diferencia de Longitud de las Piernas|dismetría de miembros inferiores
8049	úlcera de la pierna	Úlcera de la Pierna
8050	tutores legales	Guardias Legales|Tutores Legales
8051	enfermedad de Legg-Calve-Perthes	Coxa Plana|Enfermedad de Legg-Calve-Perthes|Enfermedad de Legg-Perthes|Enfermedad de Perthes|coxa plana|enfermedad de Legg-Perthes|enfermedad de Perthes
8052	leghemoglobina	Leghemoglobina|Legohemoglobina
8057	legislación como asunto	Derecho Público|Derecho de Población|Derecho de la Población|Derecho del Pueblo|Derecho del Público|Derechos de la Población|Derechos del Pueblo|Enmienda Constitucional|Legislación Demográfica|Legislación Modelo|Legislación Sanitaria|Legislación Sanitaria como Asunto|Legislación como Asunto|Legislación como Tema|Legislación en Salud|Legislación en Salud como Asunto|Legislación en Salud como Tema|Legislación en Salud, como Tema|Legislación relativa a Políticas de Población|Leyes de Población|legislación como tema|legislación en salud|legislación en salud como asunto|legislación en salud como tema|legislación en salud, como tema|legislación sanitaria|legislación sobre salud
8058	legislación en odontología	Legislación en Odontología|legislación dental
8059	legislación sobre medicamentos	Legislación de Drogas|Legislación de Estupefacientes|Legislación de Fármacos|Legislación de Medicamentos|Legislación de Narcóticos|Legislación sobre Drogas|Legislación sobre Estupefacientes|Legislación sobre Fármacos|Legislación sobre Narcóticos|Legislación sobre Productos Farmacéuticos|Ley Federal de Alimentos, Medicamentos y Cosméticos|Ley de Alimentos, Medicamentos y Cosméticos|Ley de Estupefacientes|Ley de Narcóticos|Ley sobre Estupefacientes|Ley sobre Narcóticos|Leyes de Drogas|Leyes de Estupefacientes|Leyes de Fármacos|Leyes de Medicamentos|Leyes de Narcóticos|Leyes sobre Drogas|Leyes sobre Estupefacientes|Leyes sobre Fármacos|Leyes sobre Medicamentos|Leyes sobre Narcóticos|legislación de drogas|legislación de fármacos|legislación en farmacia|legislación sobre drogas|legislación sobre fármacos|legislación sobre productos farmacéuticos|ley sobre alimentos, medicamentos y cosméticos|leyes de drogas|leyes de fármacos|leyes de medicamentos|leyes sobre drogas|leyes sobre fármacos|leyes sobre medicamentos|leyes sobre narcóticos
8060	legislación alimentaria	Derecho Alimentario|Derecho Nutricional|Legislación Alimentaria|Legislación sobre Alimentos|Leyes sobre Alimentación|Leyes sobre Alimentos|derecho alimentario|derecho nutricional|legislación sobre alimentación|legislación sobre alimentos|leyes sobre alimentación
8061	legislación hospitalaria	Legislación Hospitalaria
8062	legislación médica	Legislación Médica
8063	legislación en enfermería	Legislación de Enfermería
8064	legislación farmacéutica	Legislación Farmacéutica|Ley Farmacéutica|Ley de Fármacos|Leyes Farmacéuticas|ley farmacéutica|leyes farmacéuticas
8065	legislación veterinaria	Legislación Veterinaria
8066	Fabaceae	Afzelia|Amorpha|Andira|Baptisia|Caesalpiniaceae|Callerya|Ceratonia|Cesalpiniacea|Cesalpiniaceae|Cesalpiniaceas|Clathrotropis|Clatrotropis|Colophospermum|Copaifera|Delonix|Euchresta|Frijol|Frijoles|Guibourtia|Legumbres|Leguminosae|Leguminosas|Machaerium|Pithecellobium|Pithecolobium|Stryphnodendron|Vaina|Vainas|almortas|frijol|frijoles|guijas|legumbres|leguminosas|poroto|porotos|vaina|vainas
8067	Leuconostoc	-
8069	leiomioma	Fibroide|Fibroides del Útero|Fibroma Uterino|Fibromioma|Leiomioma|Tumor Fibroide|fibroide|fibroide uterino|fibroma uterino|fibromioma|fibromioma uterino|leiomioma uterino|mioma uterino|tumor fibroide|Útero Fibroide|útero fibromatoso
8070	leiomiosarcoma	Leiomiosarcoma|Leiomiosarcoma Epitelioide|Leiomiosarcoma Mixoide|leiomiosarcoma epitelioide|leiomiosarcoma mixoide|liomiosarcoma|liomiosarcoma epitelioide|liomiosarcoma mixoide
8072	Leishmania	Leishmania (Leishmania)|Leishmania (Viannia)|Leishmania (leishmania)|Leishmania (viannia)
8075	leishmaniasis visceral	Fiebre Negra|Kala-Azar|Leishmaniasis Visceral|fiebre negra|kala-azar|kala-azar infantil
8076	actividades de ocio	Actividades Recreativas
8077	lemur	Lemur|Lémur
8078	Lemuridae	Hapalemur|Lepilemur|Varecia
8079	duración de estancia hospitalaria	Tiempo de Internación|estancia media|tiempo de internación|tiempo de internamiento
8081	cápsula del cristalino	Cápsula del Cristalino
8082	corteza del cristalino	Corteza del Cristalino
8083	cristalino	Cristalino|Cristalino del Ojo|Lente (Cristalino)|Lente Ocular|Lente del Ojo|cristalino del ojo|lente del ojo|lente ocular
8084	enfermedades del cristalino	Enfermedades del Cristalino
8086	núcleo del cristalino	Núcleo del Cristalino
8087	lentes	Lentes
8088	lentes intraoculares	Lentes Intraoculares
8089	léntigo	Lentiginosis|Lentigo|lentiginosis
8090	lentinano	Lentinano
8092	leproserías	Colonias de Leprosos|Leprocomios|colonias de leprosos|hospitales de leprosos|lazaretos
8093	Lepidoptera	Lepidópteros|lepidópteros
8094	lepromina	Lepromina
8095	leprostáticos	Agentes Leprostáticos|Antileprosos|Fármacos Antileprosos|Fármacos Leprostáticos|Leprostáticos|antileprosos|fármacos antileprosos|fármacos leprostáticos
8096	lepra	Enfermedad de Hansen|Lepra|Mal de Hansen|enfermedad de Hansen|mal de Hansen
8097	Leptospira	-
8098	Leptospira interrogans serovar canicola	Leptospira canicola
8099	Leptospira interrogans	-
8100	leptospirosis	Infección por Leptospira|Infección por Leptospira canicola|Leptospirosis|Leptospirosis Canina|infección por Leptospira|infección por Leptospira canicola|leptospirosis canina
8103	síndrome de Leriche	Síndrome de Leriche
8104	síndrome de Lesch-Nyhan	Enfermedad por Deficiencia de Hipoxantina-Fosforribosil-Transferasa|Síndrome de Hiperuricemia, Coreoatetosis y Automutilación|Síndrome de Lesch-Nyhan|enfermedad por deficiencia en hipoxantina-fosforribosil-transferasa|síndrome de hiperuricemia coreoatetosis y automutilación
8105	Lesoto	Basutolandia|Lesotho
8106	dosis letal 50	DL50|Dosificación Letal Mediana|Dosis Letal 50
8108	leucina	Leucina
8109	leucil aminopeptidasa	Citosol Aminopeptidasa|Leucil Aminopeptidasa|Leucina Aminopeptidasa|citosol aminopeptidasa|leucil beta-naftilamidasa|leucina aminopeptidasa
8110	leucogenenol	Leucogenenol
8114	leucina-ARNt ligasa	Leucil RNAt Sintetasa|Leucil T ARN Sintetasa|Leucil T RNA Sintetasa|Leucina-ARNt Ligasa|Leucina-RNAt Ligasa|leucil ARNt sintetasa|leucil RNAt sintetasa
8132	reacción leucemoide	Reacción Leucemoide
8134	leucocidinas	Leucocidinas
8136	recuento de leucocitos	Número de Leucocitos|Recuento de Células Blancas Sanguíneas|Recuento de Células Sanguíneas Blancas|Recuento de Leucocitos|Recuento de Leucocitos Diferencial|número de leucocitos|recuento de células sanguíneas blancas|recuento diferencial de leucocitos|recuento leucocítico diferencial
8138	trastornos leucocitarios	Trastornos Leucocíticos|trastornos de los leucocitos|trastornos leucocíticos
8140	leucocitos	Corpúsculos Blanco de la Sangre|Corpúsculos Blancos Sanguíneos|Corpúsculos Sanguíneos Blancos|Células Blancas de la Sangre|Células Sanguíneas Blancas|Glóbulos Blancos|Leucocitos|corpúsculos blancos sanguíneos|corpúsculos sanguíneos blancos|células blancas de la sangre|células sanguíneas blancas|glóbulos blancos
8141	leucocitosis	Leucocitosis|Pleocitosis|pleocitosis
8142	leucodistrofia de células globoides	Enfermedad de Krabbe|Enfermedad por Deficiencia de Galactosilceramidasa|Esclerosis del Cuerpo Globoide Difuso|Leucodistrofia de Células Globoides|enfermedad de Krabbe|enfermedad por deficiencia de galactosilceramidasa|esclerosis difusa de cuerpos globoides
8143	leucodistrofia metacromática	Enfermedad por Deficiencia de Arilsulfatasa A|Enfermedad por Deficiencia de Cerebrósido Sulfatasa|Enfermedad por Deficiencia de Cerebrósido-Sulfatasa|Leucodistrofia Metacromática|enfermedad por deficiencia de arilsulfatasa A|enfermedad por deficiencia de cerebrósido sulfatasa|enfermedad por deficiencia de cerebrósido-sulfatasa
8144	leucoedema bucal	Leucoedema Bucal|leucoedema oral
8146	leucopenia	Leucocitopenia|Leucopenia|leucocitopenia
8147	leucoplasia	Leucoplaquia|Leucoplasia|leucoplaquia|leucoqueratosis
8149	leucorrea	Leucorrea
8152	leupeptinas	Leupeptinas
8153	levalorfano	Levalorfano|Naloxifan|naloxifan|naloxifano
8155	levocardia	Levocardia
8157	levorfanol	Levorfan|Levorfanol|levorfan
8158	ácidos levulínicos	Ácidos Levulínicos
8159	sistema del grupo sanguíneo Lewis	Sistema Lewis|Sistema del Grupo Sanguíneo de Lewis|sistema Lewis
8160	tumor de células de Leydig	Tumor de Células Interticiales|Tumor de Células de Leydig|tumor de células intersticiales
8161	células intersticiales del testículo	Células Intersticiales Testiculares|Células Intersticiales de Leydig|Células Intersticiales del Testículo|Células de Leydig|células de Leydig|células intersticiales testiculares
8164	Liberia	-
8165	libido	Libido
8166	bibliotecas	Bibliotecas
8167	bibliotecas de odontología	Bibliotecas Odontológicas
8168	bibliotecas hospitalarias	Bibliotecas de Hospitales|bibliotecas de hospitales
8169	bibliotecas médicas	Biblioteca Biomédica|Bibliotecas Biomédicas|Bibliotecas Médicas|Bibliotecas de Ciencias de la Salud|biblioteca biomédica|bibliotecas biomédicas|bibliotecas de ciencias de la salud
8170	bibliotecas de enfermería	Bibliotecas de Enfermería
8171	administración de bibliotecas	Administración de Biblioteca
8172	asociaciones de bibliotecas	Asociaciones de Bibliotecas
8173	escuelas de biblioteconomía	Escuela de Bibliotecología|Escuela de Biblioteconomía|Escuelas de Bibliotecología|Escuelas de Biblioteconomía|Facultad de Bibliotecología|Facultad de Biblioteconomía|Facultades de Bibliotecología|Facultades de Biblioteconomía|escuela de biblioteconomía|facultad de bibliotecología|facultad de biblioteconomía|facultades de bibliotecología|facultades de biblioteconomía
8174	biblioteconomía	Bibliotecología|Biblioteconomía|bibliotecología
8175	servicios bibliotecarios	Servicios de Biblioteca
8176	encuestas de bibliotecas	Encuestas de Bibliotecas
8178	Libia	-
8179	Phthiraptera	Piojos|Rhynchophthirina|Rhyncophthirina|piojos
8180	concesión de licencias	Concesión de Licencias|Licencia|Licencia Personal Institucional|Licencias|Otorgamiento de Licencia|Permiso Formal|Permisos Formales|licencia personal institucional|licencias
8181	licencia en odontología	Licencia en Odontología
8182	licencia hospitalaria	Licencia Hospitalaria
8183	licencia médica	Licencia Médica|Licencia en Medicina|Licencia para el Ejercício de la Medicina|Licencia para la Práctica de la Medicina
8184	licencia en enfermería	Licencia en Enfermería
8185	licencia en farmacia	Licencia en Farmacia
8186	liquen plano	Liquen Plano|Liquen Rojo Plano|liquen rojo plano
8187	líquenes	Líquenes
8188	lidocaína	Lidocaína|Lignocaína|lignocaína
8189	lidoflacina	Lidoflazina|lidoflazina
8190	detección de mentiras	Detección de Mentiras
8191	Liechtenstein	-
8192	acontecimientos en el cambio de vida	Acontecimientos que Cambian el Curso de Vida|Acontecimientos que Cambian la Vida|Experiencias de Vida|acontecimientos estresantes|experiencias vitales
8194	estadios del ciclo vital	Ciclo Vital|Ciclo de Vida|Estadios de la Historia de Vida|Estadios del Ciclo de Vida|Etapas del Ciclo Vital|Etapas del Ciclo de Vida|ciclo de vida|ciclo vital|estadios de la historia de vida|etapas del ciclo de vida
8195	estilo de vida	Estilo de Vida
8196	asistencia para prolongar la vida	Cuidados para Prolongación de la Vida|Soporte de las Funciones Vitales|Tratamiento Extraordinario|soporte de las funciones vitales|tratamiento extraordinario
8197	sistemas de mantenimiento de vida	Sistemas de Manutención de la Vida|sistemas de mantenimiento vital|sistemas de soporte vital
8198	ligamentos	Ligamentos
8199	ligamentos articulares	Ligamentos Articulares
8200	ligandos	Ligandos|Ligantes
8201	ligasas	Ligasas|Sintasas|Sintetasas|sintasas|sintetasas
8202	ligadura	Ligadura
8203	luz	Fotorradiación|Luz|Luz Visible|Radiación Visible|fotorradiación|luz visible|radiación visible
8204	fotocoagulación	Coagulación con Luz|Fotocoagulación|coagulación con luz
8205	relámpagos	Relámpago
8206	lignina	Lignina
8207	sistema límbico	Sistema Límbico
8208	prueba del Limulus	Prueba de Limulus|Test del Limulus|test del LAL|test del Limulus
8210	frenillo lingual	Frenillo Lingual|Frenillo de la Lengua|frenillo de la lengua
8211	nervio lingual	Nervio Lingual
8212	lingüística	Lingüística
8213	linimentos	Linimentos
8214	linitis plástica	Linitis Plástica
8215	ligamiento genético	Ligamiento Genético|Vinculación Genética|enlace genético|vinculación genética
8219	linurona	Linurona
8220	leones	Leones|León Pantera|Panthera leo
8221	labio	Filtrum|Labio|Surco Sublabial
8222	enfermedades de los labios	Enfermedades de los Labios|enfermedades labiales
8224	lipasa	Lipasa|Triacilglicerol Lipasa|Tributirinasa|Triglicerido Lipasa|triacilglicerol lipasa|tributirinasa|triglicérido lipasa
8225	lípido A	Lípido A
8226	bicapas lipídicas	Membrana Dobles de Lípidos
8227	alteraciones congénitas del metabolismo lipídico	Errores Innatos del Metabolismo Lipídico|errores innatos del metabolismo lipídico|metabolopatías congénitas de los lípidos|metabolopatías lipídicas congénitas
8228	movilización lipídica	Movilización Lipídica|movilización de lípidos
8229	peróxidos lípidos	Peróxidos Lipídicos
8230	lípidos	Lípidos
8233	dihidrolipoamida deshidrogenasa	Dihidrolipoamida Deshidrogenasa|Lipoamida Deshidrogenasa|NAD Diaforasa|NAD diaforasa|NADH Diaforasa|NADH diaforasa|lipoamida deshidrogenasa
8235	lipodistrofia	Lipodistrofia
8236	enfermedad de Whipple	Enfermedad de Whipple|Lipodistrofia Intestinal|lipodistrofia intestinal
8237	lipofuscina	Lipofuscina
8239	lipidosis	Lipidosis|Lipoidosis|lipoidosis
8240	lipoidoproteinosis	Enfermedad de Urbach-Wiethe|Lipoidoproteinosis|Lipoproteinosis|Proteinosis Lipoidea de Urbach y Wiethe|enfermedad de Urbach-Wiethe|lipoproteinosis
8241	lipólisis	Lipólisis
8242	lipoma	Hibernoma|Lipoma|Lipoma Pleomórfico|Tumor de Grasa|hibernoma|lipoma pleomorfo|lipoma pleomórfico|tumor de grasa
8243	lipomatosis	Lipomatosis
8245	lipoproteína lipasa	Factor de Depuración de la Heparina|Factor de Depuración de la Lipemia|Lipoproteína Lipasa|afactor depurador de lipidemia|factor de depuración de la heparina|factor de depuración de la lipidemia|lipoproteinlipasa
8246	hiperlipoproteinemia tipo I	Deficiencia Familiar de Lipoproteína Lipasa|Deficiencia de Apolipoproteína C-II|Hiperlipoproteinemia Tipo I|Hiperquilomicronemia Familiar|deficiencia de apolipoproteína C-II|deficiencia familiar de lipoproteína lipasa|hiperquilomicronemia familiar
8247	lipoproteína X	Lipoproteína X
8248	lipoproteínas	Lipoproteínas
8249	lipoproteínas HDL	Lipoproteínas HDL|Lipoproteínas de Alta Densidad|alfa-Lipoproteínas|alfa-lipoproteínas|alfalipoproteínas|lipoproteínas de alta densidad
8250	HDL-colesterol	Colesterol HDL|Colesterol de HDL|Colesterol de Lipoproteína de Alta Densidad|Colesterol de Lipoproteínas de Alta Densidad|Colesterol de Unión a Lipoproteína de Alta Densidad|HDL Colesterol|HDL-Colesterol|HDL-c|colesterol HDL|colesterol de lipoproteína de alta densidad
8251	lipoproteínas LDL	Lipoproteínas LDL|Lipoproteínas de Baja Densidad|beta-lipoproteínas|betalipoproteínas|lipoproteínas de baja densidad
8252	colesterol LDL	Colesterol LDL|Colesterol de LDL|LDL Colesterol|LDL-Colesterol
8253	lipoproteínas VLDL	Lipoproteínas Prebeta|Lipoproteínas VLDL|Lipoproteínas de muy Baja Densidad|lipoproteínas de muy baja densidad|lipoproteínas prebeta
8254	liposarcoma	Liposarcoma|Liposarcoma Bien Diferenciado|Liposarcoma Desdiferenciado|Liposarcoma Pleomórfico|Liposarcomas|Liposarcomas Bien Diferenciados|Liposarcomas Desdiferenciados|Liposarcomas Pleomórficos|Tumor Lipomatoso Atípico|Tumores Lipomatosos Atípicos|liposarcoma desdiferenciado|liposarcoma pleomorfo|liposarcoma pleomórfico|liposarcomas desdiferenciados|liposarcomas pleomórficos
8255	liposomas	Liposomas|Liposomas Ultradeformables|Niosomas|Transferosomas|liposomas ultradeformables|niosomas|transferosomas
8256	lipotrópicos	Agentes Lipotrópicos|Factores Lipotrópicos|Fármacos Lipotrópicos|Lipotrópicos|agentes lipotrópicos|factores lipotrópicos|factores lipótropos|fármacos lipotrópicos|fármacos lipótropos|lipótropos
8258	lectura de los labios	Lectura de los Labios|Lectura del Habla|lectura del habla|lectura labial
8259	colorantes verdes de lisamina	Colorantes Verde Lisamina|Colorantes Verde de Lisamina|Colorantes Verdes Lisamina|Colorantes Verdes de Lisamina|Verde Lisamina|Verde de Lisamina|Verdes Lisamina
8260	Listeria	-
8261	listeriosis	Listeriosis|infecciones por Listeria
8262	Listeria monocytogenes	-
8264	literatura	Literatura|letras
8265	literatura medieval	Literatura Medieval|Literaturas Medievales|literaturas medievales
8266	literatura moderna	Literatura Moderna
8267	litio	Litio|Litio-7|litio-7
8268	ácido litocólico	Litocolato|litocolato|Ácido Litocólico
8270	Lituania	-
8271	camada	Tamaño de la Camada
8272	hígado	Hígado
8273	absceso hepático	Absceso Hepático
8274	absceso hepático amebiano	Absceso Hepático Amebiano|Amebiasis Hepática|Entamebiasis Hepática|amebiasis hepática|entamebiasis hepática
8275	circulación hepática	Circulación Hepática|Circulación del Hígado|circulación del hígado
8276	cirrosis hepática	Cirrosis Hepática|Cirrosis del Hígado|Fibrosis Hepática|Fibrosis del Hígado|cirrosis del hígado|fibrosis del hígado|fibrosis hepática
8277	cirrosis hepática alcohólica	Cirrosis Alcohólica|Cirrosis Hepática Alcohólica|cirrosis alcohólica|cirrosis etílica
8278	cirrosis hepática biliar	Cirrosis Biliar|Cirrosis Biliar Primaria|Cirrosis Biliar Primaria 1|Cirrosis Biliar Secundaria|Cirrosis Hepática Biliar|Cirrosis Hepática Obstructiva|Colangitis Biliar Primaria|Colangitis Biliar Secundaria|Colangitis Biliares Primarias|Colangitis Biliares Secundarias|Colangitis Crónica Destructiva no Supurativa|cirrosis biliar|cirrosis biliar primaria|cirrosis biliar secundaria|colangitis crónica destructiva no supurativa
8279	cirrosis hepática experimental	Cirrosis Experimental del Hígado|Cirrosis Hepática Experimental|cirrosis experimental del hígado
8281	enfermedades hepáticas	Enfermedades del Hígado|Hepatopatías|enfermedades del hígado|hepatopatías
8282	enfermedades hepáticas alcohólicas	Hepatopatías Alcohólicas|esteatohepatitis alcohólica|hepatopatía alcohólica|hepatopatías alcohólicas
8283	parasitosis hepáticas	Hepatopatías Parasitarias|Parasitosis Hepáticas
8284	extractos hepáticos	Extractos Hepáticos
8285	pruebas de función hepática	Pruebas de Función Hepática|Tests de Función del Hígado
8286	glucógeno hepático	Glucógeno Hepático|glicógeno hepático|glucógeno del hígado
8287	neoplasias hepáticas	Cáncer Hepático|Cáncer de Hígado|Cáncer del Hígado|Neoplasias Hepáticas|cáncer de hígado|cáncer del hígado|cáncer hepático|tumores hepáticos
8288	neoplasias hepáticas experimentales	Hepatoma Experimental|Hepatoma de Morris|Hepatoma de Novikoff|Neoplasias Hepáticas Experimentales|hepatoma de Morris|hepatoma de Novikoff|hepatoma experimental
8289	regeneración hepática	Regeneración Hepática|regeneración del hígado
8291	lagartos	Camaleones|Geckos|Gecos|Heloderma horridum|Lagarto Enchaquirado|Lagarto Moteado Mexicano|Lagartos|Monstruo de Gila|Monstruos de Gila|camaleones|gecos|monstruo de Gila|monstruos de Gila
8293	Loa	Loa loa
8295	presiones políticas	Maniobras Políticas
8297	lobelina	Lobelina
8298	Nephropidae	Homaridae|Homarus|Langostas Americanas|Langostas Europeas|Langostas con Garras
8299	señales y directorios de ubicación	Directorios de Señalización y Ubicación|Guías de Senalización y Localización|guías de señalización y localización
8300	locomoción	Locomoción|actividad locomotriz
8302	escala lod	Escala de Lod
8303	lofepramina	Lofepramina|Lopramina|lopramina
8304	lógica	Lógica
8306	lomustina	CCNU|Lomustina
8307	Londres	-
8308	soledad	Añoranza|Nostalgia|Soledad|nostalgia
8311	longevidad	Longevidad|Longitud de Vida|Tiempo de Vida|Tiempos de Vida|Vida Útil|duración de la vida|tiempo de vida|tiempos de vida
8313	asa de la nefrona	Asa Nefrónica|Asa Néfrica|Asa de Henle|Asa de la Nefrona|asa de Henle|asa nefrónica
8314	loperamida	Loperamida
